experiment_id,model_family,model_variant,timestamp,dataset_version,num_train_images,num_val_images,num_train_boxes,num_val_boxes,num_epochs,batch_size,img_size,mAP_50,mAP_50_95,precision,recall,f1_score,inference_time_ms,training_time_hours,total_params_M,experiment_name,mAP_75,best_epoch,pretrained,learning_rate,momentum,weight_decay,step_size,gamma,patience,hsv_h,hsv_s,hsv_v,degrees,translate,scale,horizontal_flip,vertical_flip,blur,brightness_contrast,optimized,box_score_thresh,box_nms_thresh,box_detections_per_img,rpn_fg_iou_thresh,rpn_bg_iou_thresh,box_positive_fraction,num_test_images,num_test_boxes,eval_split
exp_001_baseline_yolov8m,yolov8,yolov8m.pt,2025-11-17 15:58:18,v1,52,13,2305,563,100,16,640,0.8080431639193417,0.5753372963479422,0.6418299371451845,0.8848450890116111,0.7439960150435052,28.184261923080648,0.1094077796406216,25.840339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_002_fast_yolov8n,yolov8,yolov8n.pt,2025-11-17 16:01:01,v1,52,13,2305,563,100,32,640,0.8090607632252795,0.5709198260267481,0.6718195109235762,0.8326589696602368,0.7436417987795948,5.39019146152406,0.0435085133711497,3.005843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_003_accurate_yolov8l,yolov8,yolov8l.pt,2025-11-17 16:19:04,v1,52,13,2305,563,100,8,640,0.8105340306969845,0.5780067806449947,0.6434627934650219,0.9005328596802842,0.7505971772867253,42.90438915383605,0.2966448884540134,43.607379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_004_baseline_yolov8m,yolov8,yolov8m.pt,2025-11-18 02:23:27,v1,52,13,2305,563,100,16,640,0.8080431639193417,0.5753372963479422,0.6418299371451845,0.8848450890116111,0.7439960150435052,31.04254392307072,0.1072693789667553,25.840339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_005_fast_yolov8n,yolov8,yolov8n.pt,2025-11-18 02:26:28,v1,52,13,2305,563,100,32,640,0.8090607632252795,0.5709198260267481,0.6718195109235762,0.8326589696602368,0.7436417987795948,6.10465030769529,0.0478635489278369,3.005843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_006_accurate_yolov8l,yolov8,yolov8l.pt,2025-11-18 02:40:33,v1,52,13,2305,563,100,8,640,0.796525707868474,0.5465732407555746,0.6677228488437061,0.8887650804850086,0.7625484789338515,42.350903923079386,0.2318647219737371,43.607379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_001_baseline_resnet50,02_faster_rcnn,resnet50,2025-11-19T03:15:42.695804,v1,52,13,2322,546,50,4,800,0.782879797908321,0.5248752936749884,0.782879797908321,0.7232600732600732,0.7518894292401107,101.35988891124724,0.1219077932834625,41.299161,baseline_resnet50,0.686437073081726,13.0,True,0.005,0.9,0.0005,10.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,,,,
exp_002_augmented_resnet50,02_faster_rcnn,resnet50,2025-11-19T03:15:53.023285,v1,52,13,2322,546,50,4,800,0.7860828645663459,0.5211780869757677,0.7860828645663459,0.71996336996337,0.7515712060921804,102.18322277069092,0.1293683009015189,41.299161,augmented_resnet50,0.6534871760888027,17.0,True,0.005,0.9,0.0005,10.0,0.1,10.0,0.015,0.7,0.4,0.0,0.1,0.2,0.5,0.0,False,True,,,,,,,,,,
exp_003_heavy_aug_resnet50,02_faster_rcnn,resnet50,2025-11-19T03:16:00.827172,v1,52,13,2322,546,80,4,800,0.7781237427885098,0.5277177644860711,0.7781237427885098,0.7298534798534798,0.7532155476831942,101.33543610572816,0.2871980541944504,41.299161,heavy_aug_resnet50,0.6953497557724045,41.0,True,0.003,0.9,0.0005,15.0,0.1,20.0,0.02,0.8,0.5,5.0,0.15,0.3,0.5,0.0,True,True,,,,,,,,,,
exp_005_tuned_map_resnet50,02_faster_rcnn,resnet50,2025-11-19T06:44:35.516101,v1,52,13,2322,546,100,4,800,0.7893308537068452,0.5428045314238719,0.7893308537068452,0.7369963369963369,0.7622658762426848,98.40752184391022,0.3687866912947761,41.299161,tuned_map_resnet50,0.7096636881049921,48.0,True,0.005,0.9,0.0005,15.0,0.1,30.0,0.02,0.1,0.1,5.0,0.05,0.1,0.5,0.0,False,True,,,,,,,,,,
exp_006_heavy_recall_resnet50,02_faster_rcnn,resnet50,2025-11-19T07:00:05.656097,v1,52,13,2322,546,70,4,800,0.78034902546777,0.5307029460183118,0.78034902546777,0.7298534798534798,0.7542565617562532,97.72175550460815,0.2541258300013012,41.299161,heavy_recall_resnet50,0.68527885947025,34.0,True,0.003,0.9,0.0005,20.0,0.1,20.0,0.05,0.25,0.25,10.0,0.15,0.3,0.7,0.2,True,True,,,,,,,,,,
exp_007_multiscale_color_resnet50,02_faster_rcnn,resnet50,2025-11-19T07:11:02.249921,v1,52,13,2322,546,65,4,800,0.790019892840692,0.5338276198120157,0.790019892840692,0.7335164835164835,0.7607199176040671,99.05661642551422,0.1793179672956466,41.299161,multiscale_color_resnet50,0.6913614321937543,23.0,True,0.004,0.9,0.0005,18.0,0.1,15.0,0.03,0.15,0.15,7.0,0.1,0.4,0.5,0.0,False,True,,,,,,,,,,
exp_001_baseline_resnet50,02_faster_rcnn,resnet50,2025-11-19T07:49:31.003603,v1,52,13,2322,546,50,4,800,0.782879797908321,0.5248752936749884,0.782879797908321,0.7232600732600732,0.7518894292401107,99.0052968263626,0.1219077932834625,41.299161,baseline_resnet50,0.686437073081726,13.0,True,0.005,0.9,0.0005,10.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,,,,
exp_002_augmented_resnet50,02_faster_rcnn,resnet50,2025-11-19T07:49:43.406845,v1,52,13,2322,546,50,4,800,0.7860828645663459,0.5211780869757677,0.7860828645663459,0.71996336996337,0.7515712060921804,98.91808032989502,0.1293683009015189,41.299161,augmented_resnet50,0.6534871760888027,17.0,True,0.005,0.9,0.0005,10.0,0.1,10.0,0.015,0.7,0.4,0.0,0.1,0.2,0.5,0.0,False,True,,,,,,,,,,
exp_003_heavy_aug_resnet50,02_faster_rcnn,resnet50,2025-11-19T07:49:56.526164,v1,52,13,2322,546,80,4,800,0.7781237427885098,0.5277177644860711,0.7781237427885098,0.7298534798534798,0.7532155476831942,100.09695589542387,0.2871980541944504,41.299161,heavy_aug_resnet50,0.6953497557724045,41.0,True,0.003,0.9,0.0005,15.0,0.1,20.0,0.02,0.8,0.5,5.0,0.15,0.3,0.5,0.0,True,True,,,,,,,,,,
exp_008_baseline_lr001,02_faster_rcnn,resnet50,2025-11-19T14:17:20.782779,v1,52,13,2322,546,60,4,800,0.7712454552417578,0.5149839174258329,0.7712454552417578,0.7195970695970696,0.7445261159678385,41.96915030479431,0.1531352769003974,41.299161,baseline_lr001,0.6580429832793527,17.0,True,0.001,0.9,0.0005,15.0,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,,,,
exp_009_baseline_lr01_cosine,02_faster_rcnn,resnet50,2025-11-19T14:27:21.744007,v1,52,13,2322,546,80,4,800,0.7672807700969406,0.4906780868940257,0.7672807700969406,0.6901098901098901,0.726651678327684,49.14890229701996,0.163862607412868,41.299161,baseline_lr01_cosine,0.5861516511716617,15.0,True,0.01,0.9,0.0005,25.0,0.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,,,,
exp_010_light_geo_only,02_faster_rcnn,resnet50,2025-11-19T14:37:00.667091,v1,52,13,2322,546,70,4,800,0.778528325300039,0.5321017269484134,0.778528325300039,0.7364468864468864,0.7569026585794323,45.748040080070496,0.1577028093073103,41.299161,light_geo_only,0.6821061172803484,19.0,True,0.005,0.9,0.0005,15.0,0.1,20.0,0.0,0.0,0.0,10.0,0.1,0.15,0.5,0.0,False,False,,,,,,,,,,
